SRB,Serbia,Europe,EMEA,CEE
SYC,Seychelles,Africa,EMEA,999
SLE,Sierra Leone,Africa,EMEA,999
SGP,Singapore,Asia,APJ,999
SXM,Sint Maarten,North America,AMS,001
SVK,Slovakia,Europe,EMEA,CEE
SVN,Slovenia,Europe,EMEA,999
SLB,Solomon Islands,Oceania,APJ,999
SOM,Somalia,Africa,EMEA,999
ZAF,South Africa,Africa,EMEA,999
KOR,South Korea,Asia,APJ,999
SSD,South Sudan,Africa,EMEA,999
ESP,Spain,Europe,EMEA,IBE
LKA,Sri Lanka,Asia,APJ,999
SDN,Sudan,Africa,EMEA,999
SUR,Suriname,South America,AMS,001
SJM,Svalbard and Jan Mayen,Europe,EMEA,999
SWZ,Swaziland,Africa,EMEA,999
SWE,Sweden,Europe,EMEA,999
CHE,Switzerland,Europe,EMEA,GWE
SYR,Syria,Asia,EMEA,999
TWN,Taiwan,Asia,APJ,999
TJK,Tajikistan,Asia,EMEA,999
TZA,Tanzania,Africa,EMEA,999
THA,Thailand,Asia,APJ,999
TGO,Togo,Africa,EMEA,999
TKL,Tokelau,Oceania,APJ,999
TON,Tonga,Oceania,APJ,999
TTO,Trinidad and Tobago,North America,AMS,001
TUN,Tunisia,Africa,EMEA,999
TUR,Turkey,Asia,EMEA,999
TKM,Turkmenistan,Asia,EMEA,999
TCA,Turks and Caicos Islands,North America,AMS,001
TUV,Tuvalu,Oceania,APJ,999
VIR,U.S. Virgin Islands,North America,AMS,001
UGA,Uganda,Africa,EMEA,999
UKR,Ukraine,Europe,EMEA,999
ARE,United Arab Emirates,Asia,EMEA,999
GBR,United Kingdom,Europe,EMEA,GWE
USA,United States,North America,AMS,001
URY,Uruguay,South America,AMS,001
UZB,Uzbekistan,Asia,EMEA,999
VUT,Vanuatu,Oceania,APJ,999
VAT,Vatican,Europe,EMEA,999
VEN,Venezuela,South America,AMS,001
VNM,Vietnam,Asia,APJ,999
WLF,Wallis and Futuna,Oceania,APJ,999
ESH,Western Sahara,Africa,EMEA,999
YEM,Yemen,Asia,EMEA,999
ZMB,Zambia,Africa,EMEA,999
ZWE,Zimbabwe,Africa,EMEA,999
